P(mbar),PercentMass
0,0
2.1,0.36109
5,0.84593
10,1.5732
20,2.77175
50,5.31803
97.9,7.7253
198.4,11.54472
301.6,14.43005
399.6,16.74917
498.4,18.86316
600.1,20.86017
699.4,22.68936
799.6,24.38462
907.1,25.98834
1005.1,27.31233
