P(bar),L(mmol/g)
0.00930207256705,0.00396562041016
0.0435456671925,0.0434912691073
0.0526573464614,0.0435239079584
0.100575259751,0.0866806288419
0.148499972801,0.133419463635
0.200987325246,0.183756731763
0.251196757874,0.234085840178
0.301392590981,0.277250720775
0.35161562313,0.334744057009
0.397242017081,0.370728390361
0.447431050427,0.410311157047
0.499904803351,0.453484197356
0.550100636458,0.496649077952
0.600282870043,0.532649730729
0.655014143502,0.565084589022
0.698376217157,0.60822499048
0.753087091334,0.629913507045
0.803262525159,0.662332045912
0.851160039167,0.694742425067
0.899043953653,0.719988576402
0.949205787956,0.74524288745
0.983415383778,0.7668579666
0.997103301964,0.777653266605
