P(bar),L(mmol/g)
0.00493150684932,0.0461605865
0.0115068493151,0.101550953647
0.0213698630137,0.220883839121
0.0394520547945,0.391331016152
0.0493150684932,0.493606332331
0.0969863013699,0.864269649794
0.149589041096,1.14534567865
0.200547945205,1.33261675965
0.249863013699,1.47299120834
0.299178082192,1.57498612612
0.350136986301,1.64711861436
0.402739726027,1.69791745772
0.452054794521,1.74447527529
0.499726027397,1.7867803838
0.550684931507,1.82479773345
0.6,1.84576919707
0.649315068493,1.86674066069
0.700273972603,1.88343604872
0.749589041096,1.90440751234
0.800547945205,1.91683850805
0.849863013699,1.9250167947
0.899178082192,1.94598825832
0.951780821918,1.94987878611
0.978082191781,1.95822063849
0.997808219178,1.95808043929
