L(mol/L),P(bar)
0.9262023060737653,1.01652608342922
0.917895558929321,1.0017763625289946
0.9095888117925837,0.9894800314622633
0.897128691083624,0.9796223992692638
0.8888219439391796,0.969779458032987
0.87636182323022,0.9550150461790785
0.8639017025212604,0.9427040241546112
0.8555949553845231,0.9304076930888933
0.8472882082400788,0.9254715315135255
0.8140612196854223,0.8910065462293275
0.8057544725486848,0.8738034355016873
0.7932943518397251,0.8614924134782332
0.7725274839863213,0.836885060388048
0.739300495428582,0.8097802445952135
0.7185336275790316,0.7827195016745737
0.6936133861603417,0.755644067796198
0.6603863976018316,0.7113655231911953
0.6105459147636813,0.6621214350963659
0.5607054319263017,0.6128773470005235
0.5191716962279714,0.5612092509896985
0.4734845869597311,0.511979853851592
0.43195085126140087,0.4603117578397537
0.37795699485411116,0.4085995889577473
0.3322698855858709,0.35201002232827727
0.2948895234574508,0.31507695625690196
0.24504904061930044,0.2584726986707092
0.1993619313518308,0.20433652187169374
0.17859506350228035,0.1797291687815085
0.16198156922341067,0.1624966761394095
0.1495214485136804,0.1501856541159555
0.12875458066412998,0.12803169085521152
0.10798771281535022,0.10833111742593525
0.07891409782675031,0.08369438242159521
0.06645397711717417,0.06402319090637243
0.008306747139666039,0.012296331066629926
0.024920241418921046,0.029528823708526275
