P(mbar),PercentMass
0.054,-0.00002
1.378,0.301769
49.999,0.944016
99.387,1.360704
198.536,2.228905
298.623,3.068362
399.246,3.885142
497.993,4.67303
598.482,5.455639
698.971,6.228978
898.342,7.734667
997.893,8.462642
